document_name,required_for,mandatory,status,deadline,source_link,notes
Passport,University and visa applications,Yes,Not started,,,Passport should remain valid through the admission and visa period
Curriculum Vitae,University applications,Yes,Not started,,,Keep an academic version and a concise one-page version
Motivation letter,University applications,Yes,Not started,,,Adapt the letter for each university or program
Degree certificate,University applications,Yes,Not started,,,Prepare translated copies if required
Academic transcripts,University applications,Yes,Not started,,,Include official versions and translations when needed
Recommendation letter 1,University applications,Usually,Not started,,,Confirm whether the portal requests direct referee submission
Recommendation letter 2,University applications,Usually,Not started,,,Track the referee deadline separately if needed
Language certificate,University applications,Depends,Not started,,,Examples include IELTS TOEFL DELF DALF or program-specific proof
Passport photo,Administrative steps,Usually,Not started,,,Useful for portals and visa documents
Research proposal,Research masters or PhD applications,Depends,Not started,,,Keep a version aligned with the target professor or lab
